Date,Price,Open,High,Low,Vol.,Change %
2020-04-20,1694.12,1691.44,1703.02,1671.74,,0.56%
2020-04-17,1684.69,1713.49,1718.69,1678.52,,-1.96%
2020-04-16,1718.40,1716.29,1738.74,1706.92,,0.10%
2020-04-15,1716.60,1729.43,1731.43,1706.99,,-0.76%
2020-04-14,1729.70,1714.09,1748.50,1709.10,,0.90%
2020-04-13,1714.32,1682.25,1722.36,1672.95,,1.45%
2020-04-10,1689.90,1675.00,1696.50,1675.00,,0.35%
2020-04-09,1684.07,1644.28,1690.29,1642.34,,2.28%
2020-04-08,1646.52,1645.94,1657.06,1641.15,,-0.15%
2020-04-07,1648.95,1662.38,1671.88,1641.06,,-0.84%
2020-04-06,1663.00,1596.80,1669.76,1596.80,,2.75%
2020-04-03,1618.45,1609.99,1627.04,1607.00,,0.29%
2020-04-02,1613.79,1590.75,1621.27,1576.43,,1.17%
2020-04-01,1595.05,1569.45,1604.12,1568.91,,1.51%
2020-03-31,1571.31,1612.25,1623.52,1562.25,,-3.20%
2020-03-30,1623.30,1617.38,1635.59,1607.63,,-0.01%
2020-03-27,1623.50,1634.99,1640.76,1614.75,,-0.54%
2020-03-26,1632.38,1620.16,1645.80,1595.81,,1.15%
2020-03-25,1613.79,1618.79,1636.29,1584.18,,-0.51%
2020-03-24,1622.03,1565.36,1644.35,1564.77,,4.39%
2020-03-23,1553.81,1508.25,1561.76,1485.40,,3.71%
2020-03-20,1498.24,1470.39,1516.43,1460.49,,1.85%
2020-03-19,1471.00,1486.10,1501.61,1464.75,,-1.03%
2020-03-18,1486.30,1527.30,1546.05,1472.60,,-2.77%
2020-03-17,1528.58,1512.05,1553.11,1465.60,,0.92%
2020-03-16,1514.61,1550.59,1573.49,1451.68,,-0.99%
2020-03-13,1529.70,1576.83,1597.72,1506.73,,-3.00%
2020-03-12,1577.09,1634.69,1650.13,1560.96,,-3.54%
2020-03-11,1635.03,1649.69,1670.97,1632.90,,-0.87%
2020-03-10,1649.36,1678.90,1680.36,1642.11,,-1.84%
2020-03-09,1680.20,1694.60,1703.16,1657.96,,0.36%
2020-03-06,1674.23,1670.66,1692.11,1647.98,,0.22%
2020-03-05,1670.61,1635.83,1674.66,1634.92,,2.13%
2020-03-04,1635.83,1639.85,1651.68,1631.99,,-0.24%
2020-03-03,1639.77,1590.78,1649.50,1587.79,,3.08%
2020-03-02,1590.73,1590.99,1610.78,1579.54,,0.35%
2020-02-28,1585.12,1642.14,1649.49,1565.86,,-3.48%
2020-02-27,1642.35,1640.56,1660.44,1635.66,,0.15%
2020-02-26,1639.96,1635.46,1655.07,1625.72,,0.28%
2020-02-25,1635.38,1660.72,1660.85,1629.01,,-1.53%
2020-02-24,1660.72,1658.96,1688.96,1652.30,,1.04%
2020-02-21,1643.70,1619.79,1649.14,1618.99,,1.48%
2020-02-20,1619.70,1611.71,1623.74,1603.89,,0.50%
2020-02-19,1611.64,1601.80,1612.91,1599.49,,0.61%
2020-02-18,1601.91,1583.31,1605.35,1582.96,,1.32%
2020-02-17,1581.10,1584.75,1584.86,1578.40,,-0.23%
2020-02-14,1584.70,1576.29,1585.04,1573.15,,0.53%
2020-02-13,1576.39,1565.62,1578.11,1565.43,,0.69%
2020-02-12,1565.63,1567.73,1570.48,1561.46,,-0.13%
